简体中文(源),参考语言(英文),资源编码
获取im token 获取异常,Exception in obtaining im token,getImTokenException
Initialization succeeded,Initialization succeeded,gwportal.erp.initialization.succeed
管理员 {0} 删除了您{1}提交的{2},Admin {0} deleted your {2} submitted at {1},logger.message.diaryDeleteMessage
{0}给您的日志点了赞，去看看！,{0} liked your work log. Check it out,logger.message.diaryLikeMessage
{0}对您的日志进行了回复，去看看！,{0} commented on your work log. Check it out,logger.message.diaryReplayMessage
{0}提醒您{1}前填写{2},{0} reminded you to fill in {2} by {1},logger.message.diarySubmitRemindMessage01
{0}提醒您{1}({2})({3}日{4})前填写{5},{0} reminded you to fill in {5} by {1} ({2})({3} {4}),logger.message.diarySubmitRemindMessage02
NCC IP地址不能为空,NCC IP address required,message.common.lang0000607
NCC 端口号不能为空,NCC port No. required,message.common.lang0000608
NCC 用户编码不能为空,NCC user code required,message.common.lang0000609
应用版本的格式X.X.X.X,App Version Format X.X.X.X,message.common.lang0000653
无对接请求数据:domain,No docking request data: domain,noDockingRequestDataDomain
无对接请求数据:ucode,No docking request data: ucode,noDockingRequestDataUcode
添加了项目参与人 {0},Project participant {0} added,project.groupMessage.addPartUserMessage
将项目的起止时间修改为: {0} 至 {1},Project period is changed from {0} to {1},project.groupMessage.changeBeginAndEndDate
将项目状态修改为: {0},Project status is modified as: {0},project.groupMessage.changePublic
删除了项目参与人 {0},Project participant {0} deleted,project.groupMessage.deletePartUserMessage
删除了项目 “{0}”,Project “{0}” deleted,project.groupMessage.deleteProject
设置项目负责人为 {0},{0} is assigned as project manager,project.groupMessage.editProjectChangeChargeMessage
将项目描述改为：{0},Project description is changed to {0},project.groupMessage.editProjectDescMessage
将项目名称修改为 “{0}”,Project name is changed to {0},project.groupMessage.editProjectNameMessage
将项目标记为完成，并填写项目总结：{0},Project is marked as completed. Project summary: {0},project.groupMessage.finishProject
{0} 重启了项目,{0} restarted project,project.groupMessage.restartProject
{0}对您的评论进行了点赞！,{0} liked your comments,project.message.projectCommentLike
修改参与人为 {0} 共{1}人,Participant is changed to {0} ({1} persons in total),project.operateLog.operate06
为{0}添加任务参与人{1},Task participant {1} is added for {0},project.operateLog.operate26
{0}为{1}设置任务负责人{2},{0} assigned task manager {2} for {1},project.operateLog.operate27
{0}取消关联了任务{1},{0} disassociated task {1},project.operateLog.operate28
"{0} 申请加入项目  {1},期待您的审批!",{0} applied to join in project {1}. Waiting for your approval,project.toDoMessage.applyJoinProject
{0} 申请加入项目,{0} applied to join in project,project.toDoMessage.title.applyJoinProject
查询为空请检查标准地址映射表和电商地址表是否匹配 --> branch:,The query result is empty. Please check whether the standard address mapping table matches the online retailer address table --> branch:,P_DIWORK_YC_BASEDOC_0000062760
更新供应商管理中租户的状态报错:SupplyDocServiceImpl.updateSupplyActive.详细日志:,Error updating the tenant status in supplier management: Detailed log:,P_DIWORK_YC_BASEDOC_0000062761
com.yonyou.yuncai.cpu.dao.basedoc.organization.impl.OrganizationDaoImpl.getOrganizationsByDefConditionForYQL 查询条件不能为空.,Query criteria are required.,P_DIWORK_YC_BASEDOC_0000062765
更新供应商条件为空 SupplyDocServiceImpl updateSupplyTemp,Supplier update criteria are blank,P_DIWORK_YC_BASEDOC_0000062771
查询ERP供应商出错:SupplyDocServiceImpl.selectSupplyByPurseIdAndPKsup.详细日志:,Error querying ERP supplier. Detailed log:,P_DIWORK_YC_BASEDOC_0000062772
com.yonyou.yuncai.cpu.dao.basedoc.organization.impl.OrganizationDaoImpl.getOrganizationsByDefCondition 查询条件不能为空.,com.yonyou.yuncai.cpu.dao.basedoc.organization.impl.OrganizationDaoImpl.getOrganizationsByDefCondition Query criteria are required.,P_DIWORK_YC_BASEDOC_0000062779
查询为空请检查电商地址表 --> branch:,The query result is empty. Please check the online retailer address table:,P_DIWORK_YC_BASEDOC_0000062780
供应商档案插入失败:SupplyDocServiceImpl.updateSaveSupplyDoc.详细日志:,Failed to insert supplier file. Detailed log:,P_DIWORK_YC_BASEDOC_0000062783
更新一下供应商管理表中的此租户的信息错误:SupplyDocServiceImpl.updateSupplyIdByTenantId.详细日志:,Error updating Info of this tenant in the supplier management table. Detailed log:,P_DIWORK_YC_BASEDOC_0000062784
查询采购商对应的供应商数据出错:SupplyDocServiceImpl.querySupplyByPurIdAndSupId.详细日志:,Error querying corresponding supplier data of purchaser. Detailed log:,P_DIWORK_YC_BASEDOC_0000062786
批量导入供应商档案失败:SupplyDocServiceImpl.batchInsertSupplyDocAndIndex.详细日志:,Failed to batch import supplier files. Detailed log:,P_DIWORK_YC_BASEDOC_0000062821
供应商档案插入失败:SupplyDocServiceImpl.insertSaveSupplyDoc.详细日志:,Failed to insert supplier file. Detailed log:,P_DIWORK_YC_BASEDOC_0000062844
com.yonyou.yuncai.cpu.dao.basedoc.organization.impl.OrganizationDaoImpl.getOrganizationsByDefCondition 分页条件不能为空.,com.yonyou.yuncai.cpu.dao.basedoc.organization.impl.OrganizationDaoImpl.getOrganizationsByDefCondition Pagination criteria are required.,P_DIWORK_YC_BASEDOC_0000062857
分页查询数据失败:SupplyDocServiceImpl.selectSupplyDocByPurchaseIdForIndmall.详细日志:,Pagination query of data failed: Detailed log:,P_DIWORK_YC_BASEDOC_0000062885
AnnouncementServiceImpl  pageQuery  分页查询新闻公告失败,Pagination query of news announcement failed,P_DIWORK_YC_BASEDOC_0000062940
判断营业执照号、供应商名称、供应商编码是否有重复失败:SupplyDocServiceImpl.isUnique.详细日志:,"Fail to judge whether the business license No., supplier name and supplier code are duplicated. Detailed log:",P_DIWORK_YC_BASEDOC_0000062944
供应商历史数据更新异常:SupplyDocServiceImpl.batchSaveOrUpdateSupplyDocData.详细日志:,Error updating supplier's historical data. Detailed log:,P_DIWORK_YC_BASEDOC_0000062956
根据营业执照号和采购商的租户id查询供应商错误:SupplyDocServiceImpl.updateSupplyActive.详细日志:,Error querying suppler by business license No. and purchaser's tenant ID. Detailed log:,P_DIWORK_YC_BASEDOC_0000062971
供应商档案查询失败:SupplyDocServiceImpl.getSupplyDoc.详细日志:,Failed to query supplier file. Detailed log:,P_DIWORK_YC_BASEDOC_0000062998
分页查询数据失败:SupplyDocServiceImpl.pageQuery.详细日志:,Pagination query of data failed: SupplyDocServiceImpl.pageQuery. Detailed log:,P_DIWORK_YC_BASEDOC_0000063015
付款比例不能超过100%！,Payment proportion cannot exceed 100%.,P_DIWORK_YC_BASEDOC_0000063017
QualifyServiceImpl queryQualify 查询资质失败 :,Failed to query qualification:,P_DIWORK_YC_BASEDOC_0000063025
供应商档案删除失败:SupplyDocServiceImpl.delete.详细日志:,Failed to delete supplier file. Detailed log:,P_DIWORK_YC_BASEDOC_0000063033
批量导入供应商档案失败:SupplyDocServiceImpl.batchUpdateSupplyDocAndIndexForErp.详细日志:,Failed to batch import supplier files. Detailed log:,P_DIWORK_YC_BASEDOC_0000063040
根据purchaseid和supplyid更新失败:SupplyDocServiceImpl.updatePkSupplier.详细日志:,Failed to update according to purchaseid and supplyid. Detailed log:,P_DIWORK_YC_BASEDOC_0000063041
批量导入供应商档案失败:SupplyDocServiceImpl.insertSupplyDocBatch.详细日志:,Failed to batch import supplier files: SupplyDocServiceImpl.insertSupplyDocBatch. Detailed log:,P_DIWORK_YC_BASEDOC_0000063042
查询ERP供应商出错:SupplyDocServiceImpl.querySupplyByPurseIdAndPKsup.详细日志:,Error querying ERP supplier. Detailed log:,P_DIWORK_YC_BASEDOC_0000063056
根据purEnterpriseId和name查询“供应商档案id失败:SupplyDocServiceImpl.pageQueryForRef.详细日志:,Failed to query supplier file ID according to purEnterpriseId and name. Detailed log:,P_DIWORK_YC_BASEDOC_0000063064
查询采购商的下属供应商失败:SupplyDocServiceImpl.selectSupplyDocByPurchaseId.详细日志:,Failed to query child supplier of purchaser. Detailed log:,P_DIWORK_YC_BASEDOC_0000063077
SupplyDocServiceImpl  selectSupplyDocByPurchaseIdForIndmall  分页查询数据,Pagination Query of Data,P_DIWORK_YC_BASEDOC_0000063104
付款比例不等于100%！,Payment proportions are not equal to 100%.,P_DIWORK_YC_BASEDOC_0000063117
供应商档案查询失败:SupplyDocServiceImpl.getSupplyDocById.详细日志:,Failed to query supplier file: SupplyDocServiceImpl.getSupplyDocById. Detailed log:,P_DIWORK_YC_BASEDOC_0000063157
更新供应商条件出错 SupplyDocServiceImpl updateSupplyTemp,Error updating supplier condition,P_DIWORK_YC_BASEDOC_0000063209
com.yonyou.yuncai.cpu.dao.basedoc.customerdirectory.impl.CustomerDirectoryDaoImpl.getCustomerDirectory 分页条件不能为空.,com.yonyou.yuncai.cpu.dao.basedoc.customerdirectory.impl.CustomerDirectoryDaoImpl.getCustomerDirectory Pagination criteria are required.,P_DIWORK_YC_BASEDOC_0000063210
添加关系失败:SupplyDocServiceImpl.addEntRelationship.详细日志:,Failed to add relationship. Detailed log:,P_DIWORK_YC_BASEDOC_0000063211
生成云采平台的租户信息出错:SupplyDocServiceImpl.updateSupplyActive.详细日志:,Error generating tenant Info of youGo platform. Detailed log:,P_DIWORK_YC_BASEDOC_0000063227
com.yonyou.yuncai.cpu.dao.basedoc.customerdirectory.impl.CustomerDirectoryDaoImpl.getCustomerDirectory 查询条件不能为空.,com.yonyou.yuncai.cpu.dao.basedoc.customerdirectory.impl.CustomerDirectoryDaoImpl.getCustomerDirectory Query criteria are required.,P_DIWORK_YC_BASEDOC_0000063234
查询失败:SupplyDocServiceImpl.selectSupplyDocByCond.详细日志:,Query failed. Detailed log:,P_DIWORK_YC_BASEDOC_0000063242
SupplyDocServiceImpl  addSupplyByPurId  查询是否已经存在关系错误,Query whether the relationship error already exists,P_DIWORK_YC_BASEDOC_0000063248
OrganizationServiceImpl  getOrganization4Upgrade 查询,OrganizationServiceImpl  getOrganization4Upgrade Query,P_DIWORK_YC_BASEDOC_0000064899
供应商档案查询失败:SupplyDocServiceImpl.getSupplyDocListWithDetail.详细日志:,Failed to query supplier file: SupplyDocServiceImpl.getSupplyDocListWithDetail. Detailed log:,P_DIWORK_YC_BASEDOC_0000064900
参数【enterpriseId】都不能为空！,Parameter [enterpriseId] is required.,P_DIWORK_YC_BASE_0000060370
"----------------------->>>>queryByDefCondition>>>>>>>>>>--------------出现异常,详细日志:",Error. Detailed log:,P_DIWORK_YC_BASE_0000060387
"参数【rule.enterpriseId】,【rule.billType】,【rule.field】都不能为空！",All parameters are required.,P_DIWORK_YC_BASE_0000060393
BiddocServiceImpl pageQueryForPicture  分页查询异常:,Pagination query error:,P_DIWORK_YC_BID-DOC_0000061932
projectId 不能为空或者0！,projectId cannot be empty or 0.,P_DIWORK_YC_BID-DOC_0000061936
BidSupplierOpenPictureServiceImpl pageQuery  分页查询异常:,BidSupplierOpenPictureServiceImpl pageQuery  Pagination query exception:,P_DIWORK_YC_BID-OPEN_0000063258
表体指标权重总分须等于100或100%，请确认后进行保存！,Total score of indicator weight in detail must be equal to 100 or 100%. Please confirm before saving.,P_DIWORK_YC_BID-PROJECT_0000057623
唯一标示字段[vsrcMark]不能为空!,The unique mark field [vsrcMark] is required.,P_DIWORK_YC_BI_0000060099
Spring 中使用Swagger2构建RESTful API,Swagger2 used to build RESTful API in Spring,P_DIWORK_YC_BI_0000060173
]的字段对照(check-mapping)关系!,]'s field cross-reference (check-mapping) relation.,P_DIWORK_YC_BI_0000060199
唯一标示字段[id]不能为空!,The unique mark field [ID] is required.,P_DIWORK_YC_BI_0000060247
只有虚拟对账单才可以进行生成对账单操作！id:[,Only virtual statements can be used to generate statements. id:[,P_DIWORK_YC_CHECK_0000060444
"{\""invoiceInfo\"":{\""vatAddress\"":\""北京市海淀区北清路68号用友软件园\"",\""vatTelephone\"":\""15910245632\"",\""vatBankAccount\"":\""23523464665634567722\"",\""vatBank\"":\""中国银行\"",\""vatTaxNo\"":\""1234567011\""},\""invoiceReceiver\"":{\""name\"":\""谭欣\"",\""mobile\"":\""15910245632\""},\""addressId\"":451,\""invoiceAddress\"":{\""area0\"":{\""code\"":\""1\"",\""name\"":\""北京\""},\""area1\"":{\""code\"":\""2800\"",\""name\"":\""海淀区\""},\""area2\"":{\""code\"":\""2851\"",\""name\"":\""五环到六环之间\""},\""detail_address\"":\""北京市海淀区北清路68号用友软件园\""}}","{\\""invoiceInfo\\"":{\\""vatAddress\\"":\\""Yonyou Software Park, No.68, Beiqing Road, Haidian District, Beijing\\"",\\""vatTelephone\\"":\\""15910245632\\"",\\""vatBankAccount\\"":\\""23523464665634567722\\"",\\""vatBank\\"":\\""Bank of China\\"",\\""vatTaxNo\\"":\\""1234567011\\""},\\""invoiceReceiver\\"":{\\""name\\"":\\""Tan Xin\\"",\\""mobile\\"":\\""15910245632\\""},\\""addressId\\"":451,\\""invoiceAddress\\"":{\\""area0\\"":{\\""code\\"":\\""1\\"",\\""name\\"":\\""Beijing\\""},\\""area1\\"":{\\""code\\"":\\""2800\\"",\\""name\\"":\\""Haidian District\\""},\\""area2\\"":{\\""code\\"":\\""2851\\"",\\""name\\"":\\""Fifth Ring to Sixth Ring\\""},\\""detail_address\\"":\\""Yonyou Software Park, No.68, Beiqing Road, Haidian District, Beijing\\""}}",P_DIWORK_YC_CHECK_0000060450
友企连APPID为空，请检查配置：ncbase.appid,Ublinker APPID is empty. Please check configuration: ncbase.appid,P_DIWORK_YC_CHECK_0000060459
友企连url为空，请检查配置：ncbase.server,Ublinker URL is empty. Please check configuration: ncbase.server,P_DIWORK_YC_CHECK_0000060472
修改出错，单据id不存在，id:,Modification error. Doc ID does not exist. ID:,P_DIWORK_YC_COMMON_0000059413
erp类型请求失败，response：,"ERP type request failed, response:",P_DIWORK_YC_COMMON_0000059429
%s不存在,%s does not exist,P_DIWORK_YC_COMMON_0000059438
"查询是否有审批流结束，billHasFlow:{}, 耗时（ms）：{}==================================================================","Query whether approval process has ended, billHasFlow:{}, time used (ms): {}",P_DIWORK_YC_COMMON_0000059440
不支持的erp类型请求返回类型，response：,"Return type of unsupported ERP type request, response:",P_DIWORK_YC_COMMON_0000059473
消息总线的消息队列类型不能为空，请设置[mq.eventbus.mqtype],Message queue type of message bus cannot be empty. Please set [mq.eventbus.mqtype],P_DIWORK_YC_COMMON_0000059481
修改出错，单据ts为空，id:,Modification error. Doc ts is empty. ID:,P_DIWORK_YC_COMMON_0000059500
erp类型请求成功，但返回erptype为空！，response：,ERP type request successful but returned erptype was empty. Response:,P_DIWORK_YC_COMMON_0000059557
审批方式OrgWorkFlowController  save  数据保存失败,Failed to save approval method data,P_DIWORK_YC_CPU-PORTAL_0000055705
需求处理.xls,Demand Processing.xls,P_DIWORK_YC_CPU-PORTAL_0000055727
查询询价单失败！！！，buyofferId:,"Failed to query RFQ, buyofferId:",P_DIWORK_YC_CPU-PORTAL_0000055754
查询采购订单返回为null，id:,Returned query result of PO is null. ID:,P_DIWORK_YC_CPU-PORTAL_0000055762
报价单.xls,Quotation.xls,P_DIWORK_YC_CPU-PORTAL_0000055784
PuHomeController  queryPendingMessage  查询采购商的待办消息失败,Failed to query to-do message of purchaser,P_DIWORK_YC_CPU-PORTAL_0000055858
loadData，原因:[,"loadData, reason: [",P_DIWORK_YC_CPU-PORTAL_0000055874
pucode 不能为空,pucode required,P_DIWORK_YC_CPU-PORTAL_0000055881
送货单.xls,Delivery Doc.xls,P_DIWORK_YC_CPU-PORTAL_0000055911
查询报价单失败！！！，buyofferId:,"Failed to query quotation, buyofferId:",P_DIWORK_YC_CPU-PORTAL_0000055944
EnterpriseController resetBusinessModelName 经营模式名称code2name转换失败,Business mode name code2name conversion failed,P_DIWORK_YC_CPU-PORTAL_0000055974
"queryHistoryProcessUrl查询是否有审批历史结束，billHasFlow:{}, 耗时（ms）：{}============================================","queryHistoryProcessUrl Querying whether there is approval history has ended, billHasFlow:{}, time used (ms): {}",P_DIWORK_YC_CPU-PORTAL_0000055990
AnnouncementController  findAll  查询失败,AnnouncementController  findAll  Query failed,P_DIWORK_YC_CPU-PORTAL_0000056033
"{'result':'failed','msg':'请求参数错误，没有timestamp！'}","{'result':'failed','msg':' request parameter error, without timestamp!'}",P_DIWORK_YC_CPU-PORTAL_0000056094
调用PoiUtil.mergerRegion()方法时，targetSheet或者sourceSheet不能为空，故抛出该异常！,"When the PoiUtil.mergerRegion() method is called, targetSheet or sourceSheet is required, so the exception is thrown.",P_DIWORK_YC_CPU-PORTAL_0000056107
查询定标单失败！！！，projectId:,"Failed to query bid award Doc, projectId:",P_DIWORK_YC_CPU-PORTAL_0000056134
采购需求.xls,Purchase Demand.xls,P_DIWORK_YC_CPU-PORTAL_0000056148
定标单查询为空，id：,"Queried bid award Doc is empty, ID:",P_DIWORK_YC_CPU-PORTAL_0000056157
"{'result':'failed','msg':'校验签名失败：请检查公钥和私钥是否匹配，和参数传值是否有问题！'}","{'result':'failed','msg':' Failed to verify signature: Please check whether the public key and the private key match, and whether the submitted parameter value is valid.'}",P_DIWORK_YC_CPU-PORTAL_0000056167
请求参数【materialids】为空！！！,Request parameter [materialids] is empty.,P_DIWORK_YC_CPU-PORTAL_0000056170
detailEntityList.erpProductId ERP物料唯一标识不能为空!,Unique ID of ERP material is required.,P_DIWORK_YC_CPU-PORTAL_0000056192
AnnouncementController  save  保存失败,AnnouncementController  save  Saving failed,P_DIWORK_YC_CPU-PORTAL_0000056195
调用PoiUtil.copyCommentr()方法时，targetCell、sourceCell、targetPatriarch都不能为空，故抛出该异常！,"When the PoiUtil.copyCommentr() method is called, targetCell, sourceCell and targetPatriarch are all required, so the exception is thrown.",P_DIWORK_YC_CPU-PORTAL_0000056203
运输工具：#{transportType},Mode of Transport: #{transportType},P_DIWORK_YC_CPU-PORTAL_0000056215
AnnouncementController  delete  删除失败,AnnouncementController  delete  Deleting failed,P_DIWORK_YC_CPU-PORTAL_0000056217
"isUrgent 计划是否加急标识不能为空,切必须为YES或者NO!",isUrgent Urgent ID of plan is required and must be set to YES or NO.,P_DIWORK_YC_CPU-PORTAL_0000056236
调用PoiUtil.copyRow()方法时，targetRow、sourceRow、targetWork、sourceWork、targetPatriarch都不能为空，故抛出该异常！,"When the PoiUtil.copyRow() method is called, targetRow, sourceRow, targetWork, sourceWork, and targetPatriarch are all required, so the exception is thrown.",P_DIWORK_YC_CPU-PORTAL_0000056259
erpUserCode ERP采购员编码 不能为空!,erpUserCode ERP buyer code is required.,P_DIWORK_YC_CPU-PORTAL_0000056270
"】到货单单号【\""+differBody.getPubill().getBillcode()+\""】基准价为负",] Arrivals Doc No. benchmark price is negative,P_DIWORK_YC_CPU-PORTAL_0000056278
订单付款协议比例总和不等于100%，请检查！,The sum of order payment agreement proportions is not equal to 100%. Please check.,P_DIWORK_YC_CPU-PORTAL_0000056290
到货单明细.xlsx,Arrival Doc Details.xlsx,P_DIWORK_YC_CPU-PORTAL_0000056316
询价通知书.xlsx,Inquiry Notification.xlsx,P_DIWORK_YC_CPU-PORTAL_0000056349
请求参数【supplierdocids】，【materialids】为空！！！,"Request parameter [supplierdocids], [materialids] is empty.",P_DIWORK_YC_CPU-PORTAL_0000056360
SupplyController resetBusinessModelName 经营模式名称code2name转换失败,SupplyController resetBusinessModelName Business mode name code2name conversion failed,P_DIWORK_YC_CPU-PORTAL_0000056403
开始删除销售发票：id[,Start to delete sales invoice: ID [,P_DIWORK_YC_CPU-PORTAL_0000056476
中标通知书.zip,Bid Winning Notification.zip,P_DIWORK_YC_CPU-PORTAL_0000056512
[PRINT]检测到询报价比价环节数据接口登录用户不匹配,[PRINT] Unmatched login user detected in the data interface of RFQ and quotation/price comparison phase,P_DIWORK_YC_CPU-PORTAL_0000056536
发货单明细.xlsx,Shipping Doc Details.xlsx,P_DIWORK_YC_CPU-PORTAL_0000056559
根据RequestParam tenantId(,By RequestParam tenantId(,P_DIWORK_YC_CPU-PORTAL_0000056569
回写单据状态（消息审批），param：,"Update Doc status (message approval), param:",P_DIWORK_YC_CPU-PORTAL_0000056598
OrganizationController  deleteById  删除数据失败,Failed to delete data,P_DIWORK_YC_CPU-PORTAL_0000056609
压缩后文件.zip,Compressed File.zip,P_DIWORK_YC_CPU-PORTAL_0000056617
查询商品列表失败 clientType:[,"Failed to query product list, clientType:[",P_DIWORK_YC_CPU-PORTAL_0000056618
prid 来源单据表头主键不能为空!,prid source Doc header PK is required.,P_DIWORK_YC_CPU-PORTAL_0000056678
采购对账列表详情.xlsx,Purchase Recnc. List Details.xlsx,P_DIWORK_YC_CPU-PORTAL_0000056681
detailEntityList.sourcebid 来源单据表体主键不能为空!,detailEntityList.sourcebid Source Doc detail PK is required.,P_DIWORK_YC_CPU-PORTAL_0000056682
qtexpiredate 报价截至时间不能为空，且不能小于今天!,qtexpiredate Quotation deadline cannot be blank or earlier than today.,P_DIWORK_YC_CPU-PORTAL_0000056771
销售对账详情.xlsx,Sales Recnc. Details.xlsx,P_DIWORK_YC_CPU-PORTAL_0000056847
SupplyController  resetSupplySourceName 名称重设失败,Failed to reset name,P_DIWORK_YC_CPU-PORTAL_0000056880
供应商来源都不是 erp，只支持 erp 供应商定标导出！,Supplier source is not ERP Only bid award Doc of ERP supplier can be exported.,P_DIWORK_YC_CPU-PORTAL_0000056919
"findUserById 检测到水平越权操作: requestUserId-%d, requestEntId-%d, contextEntId-%d","findUserById exceeded query permission: requestUserId-%d, requestEntId-%d, contextEntId-%d",P_DIWORK_YC_CPU-PORTAL_0000056934
detailEntityList.reqdate 需求日期不能为空，且不能小于今天!,detailEntityList.reqdate Requisition date cannot be blank or earlier than today.,P_DIWORK_YC_CPU-PORTAL_0000056935
orgid 不能为空,orgid required,P_DIWORK_YC_CPU-PORTAL_0000056957
采购订单列表详情.xlsx,PO List Details.xlsx,P_DIWORK_YC_CPU-PORTAL_0000056964
根据id查询询价单失败，id：,Failed to query RFQ by ID. ID:,P_DIWORK_YC_CPU-PORTAL_0000057001
安全库存.xls,Safety Stock.xls,P_DIWORK_YC_CPU-PORTAL_0000057005
ecUserCode 必联采购员编码不能为空!,ecUserCode Buyer code is required in ebnew.com.,P_DIWORK_YC_CPU-PORTAL_0000057015
erpBillCode 计划编码不能为空!,erpBillCode Plan code required.,P_DIWORK_YC_CPU-PORTAL_0000057038
AnnouncementController  findByPage  分页查询失败,Pagination query failed,P_DIWORK_YC_CPU-PORTAL_0000057045
"{'result':'failed','msg':'请求参数错误，没有yht_access_token！'}","{'result':'failed','msg':' request parameter error, without yht_access_token!'}",P_DIWORK_YC_CPU-PORTAL_0000057051
请求参数没有【materialids】！！！,Request parameter has no [materialids].,P_DIWORK_YC_CPU-PORTAL_0000057072
id 不能为空,ID is required,P_DIWORK_YC_CPU-PORTAL_0000057078
没有获取到对应的订单信息。订单编号：{0}，订单行PK：{1},"Failed to obtain corresponding order Info. Order No.: {0}, Order line PK: {1}",P_DIWORK_YC_CPU-PORTAL_0000057082
获取租户信息失败!com.yonyou.cpu.base.BaseController.getCurrentEnterprise,Failed to get tenant information.,P_DIWORK_YC_CPU-PORTAL_0000057100
SupplyController  getTradeName 所属行业名称重设失败,SupplyController  getTradeName Failed to reset industry name,P_DIWORK_YC_CPU-PORTAL_0000057152
"{'result':'failed','msg':'请求已经过期，请重新发送！'}","{'result':'failed','msg':' request has expired. Please send again.'}",P_DIWORK_YC_CPU-PORTAL_0000057166
销售对账列表详情.xlsx,Sales Recnc. List Details.xlsx,P_DIWORK_YC_CPU-PORTAL_0000057174
"登录用户EnterpriseId为空，请检查！login user's enterpriseid is empty ,please check!",Login user’s EnterpriseId is empty. Please check. login user's enterpriseid is empty. Please check!,P_DIWORK_YC_CPU-PORTAL_0000057181
"{'result':'failed','msg':'校验签名失败：","{'result':'failed','msg':' Failed to verify signature:",P_DIWORK_YC_CPU-PORTAL_0000057197
询价单.xls,RFQ.xls,P_DIWORK_YC_CPU-PORTAL_0000057217
调用PoiUtil.copySheet()方法时，targetSheet、sourceSheet、targetWork、sourceWork都不能为空，故抛出该异常！,"When the PoiUtil.copySheet() method is called, targetSheet, sourceSheet, targetWork and sourceWork are all required, so the exception is thrown.",P_DIWORK_YC_CPU-PORTAL_0000057221
网关请求中的租户id查询云采租户Id失败！tenantid=,Failed to query youGo tenant ID by tenant ID in gateway request. tenantid=,P_DIWORK_YC_CPU-PORTAL_0000057225
网关返回失败信息：errcode:,Failure information returned from gateway: errcode:,P_DIWORK_YC_CPU-PORTAL_0000057233
AnnouncementController  findById  根据Id查询失败,Failed to query by ID,P_DIWORK_YC_CPU-PORTAL_0000057244
查询开标的报价单失败！！！，buyofferId:,Failed to query bid opening quotation. buyofferId:,P_DIWORK_YC_CPU-PORTAL_0000057248
id 不能为空!,ID required.,P_DIWORK_YC_CPU-PORTAL_0000057252
请求参数没有【supplierdocids】，【materialids】！！！,"Request parameter has no [supplierdocids], [materialids].",P_DIWORK_YC_CPU-PORTAL_0000057255
定标单.xls,Bid Award Doc.xls,P_DIWORK_YC_CPU-PORTAL_0000057292
销售订单列表详情.xlsx,SO List Details.xlsx,P_DIWORK_YC_CPU-PORTAL_0000057307
id 不能为空！,ID is required,P_DIWORK_YC_CPU-PORTAL_0000057344
AnnouncementController  publish  发布失败,Failed to publish,P_DIWORK_YC_CPU-PORTAL_0000057349
corpSubAccountid ERP采购员id 不能为空!,corpSubAccountid ERP buyer ID is required.,P_DIWORK_YC_CPU-PORTAL_0000057413
enterpriseid 不能为空,enterpriseid required,P_DIWORK_YC_CPU-PORTAL_0000057438
采购对账详情.xlsx,Purchase Recnc. Details.xlsx,P_DIWORK_YC_CPU-PORTAL_0000057458
定价单 id 不能为空,Price List ID required,P_DIWORK_YC_CPU-PORTAL_0000057497
远程请求失败：status:,Remote request failed: status:,P_DIWORK_YC_CPU-PORTAL_0000057511
调用PoiUtil.copyCell()方法时，targetCell、sourceCell、targetWork、sourceWork都不能为空，故抛出该异常！,"When the PoiUtil.copyCell() method is called, targetCell, sourceCell, targetWork, and sourceWork are all required, so the exception is thrown.",P_DIWORK_YC_CPU-PORTAL_0000057517
特殊异常：status:,Special exception: status:,P_DIWORK_YC_CPU-PORTAL_0000057518
查询定标单失败！！！，buyofferId:,Failed to query bid award Doc. buyofferId:,P_DIWORK_YC_CPU-PORTAL_0000057527
"([ { deadline: \""1482768000000\"",id: \""638\"",messageContent: \""电脑i5-6500,\"",messageTitle: \""摩贝询价单122001\"",messageType: \""询价\"",msgId: 318},{ deadline: \""1482768000000\"",id: \""637\"",messageContent: \""电222脑i5-6500,\"",messageTitle: \""摩贝询价单122001\"",messageType: \""询价\"",msgId: 318},{ deadline: \""1482768000000\"",id: \""639\"",messageContent: \""电脑22i5-6500,\"",messageTitle: \""摩贝询22价单122001\"",messageType: \""询价\"",msgId: 319}])","([ { deadline: \\""1482768000000\\"",id: \\""638\\"",messageContent: \\""PC i5-6500,\\"",messageTitle: \\""Mo Bei RFQ 122001\\"",messageType: \\""RFQ\\"",msgId: 318},{ deadline: \\""1482768000000\\"",id: \\""637\\"",messageContent: Null \\""Mo Bei RFQ 122001\\"",messageType: \\""RFQ\\"",msgId: 318},{ deadline: \\""1482768000000\\"",id: \\""639\\"",messageContent: \\""PC 22i5-6500,\\"",messageTitle: Null \\""RFQ\\"",msgId: 319}])",P_DIWORK_YC_CPU-PORTAL_0000057534
"登录用户为空，授权失败，重新登录云采, 重新授权！login user is empty ,please login again and auth again!",Login user is empty. Authorization failed. Log in to youGo and perform authorization again. login user is empty. Please login again and auth again!,P_DIWORK_YC_CPU-PORTAL_0000057536
导出物料档案.xlsx,Export Material File.xlsx,P_DIWORK_YC_CPU-PORTAL_0000057545
用户redis缓存更新成功!-->{0},User redis cache updated successfully.-->{0},P_DIWORK_YC_CPU-PORTAL_0000057767
用户redis缓存开始更新!-->{0},User redis cache started updating.-->{0},P_DIWORK_YC_CPU-PORTAL_0000057777
